,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,y
0,0.006,19.873,2.374,0.0,0.528,6.449,61.017,3.991,1.0,225.757,13.848,439.029,4.861,23.607709431755953
1,0.032,0.0,6.996,0.0,0.468,6.107,78.305,5.297,2.055,266.559,18.021,313.284,8.193,21.40919252330956
2,0.023,0.0,6.499,0.0,0.481,7.688,71.998,4.724,1.965,198.483,18.697,483.785,3.989,39.73586427093518
3,0.028,0.0,2.237,0.0,0.448,7.532,38.967,6.465,3.029,252.911,19.546,457.091,2.818,39.14868063878885
4,0.075,0.0,2.188,0.0,0.453,6.625,61.348,6.264,3.093,286.157,17.941,367.085,5.1,27.505810238335684
5,0.034,0.0,2.154,0.0,0.442,6.361,59.609,5.806,3.111,240.195,16.241,315.553,5.479,23.5726535535493
6,0.083,11.579,7.443,0.0,0.532,5.714,56.084,5.373,4.844,255.9,16.255,519.998,11.282,21.033199593157242
7,0.152,11.21,7.745,0.0,0.527,6.03,84.333,6.443,5.383,372.077,14.053,401.806,19.232,21.389926944700438
8,0.207,13.965,8.694,0.0,0.54,6.138,120.407,6.253,4.921,340.207,14.194,299.832,33.092,19.548682252812164
9,0.171,12.157,7.249,0.0,0.534,6.422,81.33,6.824,4.79,375.328,17.201,337.611,15.63,20.377541819742955
10,0.223,12.358,8.12,0.0,0.534,6.293,78.501,6.553,4.811,236.26,16.133,373.124,21.038,22.074539593702607
11,0.112,13.419,8.257,0.0,0.524,6.335,97.575,6.06,4.801,322.61,13.852,415.753,14.438,21.05310008538227
12,0.084,11.995,8.537,0.0,0.538,5.521,35.298,5.666,4.839,255.033,14.693,447.923,17.603,21.881385828854725
13,0.617,0.0,8.778,0.0,0.523,5.753,70.696,4.521,3.762,287.96,18.999,447.781,9.179,21.296289677146774
14,0.651,0.0,7.388,0.0,0.531,6.295,76.425,4.201,3.931,270.764,19.589,333.577,9.428,24.200018052621648
15,0.635,0.0,7.625,0.0,0.551,6.297,65.477,4.362,4.092,368.634,20.922,399.334,9.247,22.56927841438965
16,1.056,0.0,7.652,0.0,0.533,5.95,27.053,4.838,3.967,401.911,19.418,291.833,6.018,21.209178826662047
17,0.784,0.0,8.02,0.0,0.553,6.342,68.266,4.01,4.076,253.98,20.134,338.295,13.487,22.225625325898253
18,0.802,0.0,8.074,0.0,0.548,5.172,35.111,4.017,4.057,404.075,20.671,271.701,10.996,17.374151189719303
19,0.734,0.0,8.502,0.0,0.524,5.727,71.109,3.696,4.163,269.816,18.194,445.685,10.311,19.891744833393915
